Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1978,0.08,0.03,0.04,0.13,0.1,0.12,0.21,0.05,0.09,0.05,0.06,0.13
1979,0.1,0.04,0.14,0.17,0.06,0.1,0.12,0.28,0,0.06,0.09,0.08
1980,0.01,0.04,0.06,0.11,0.1,0.11,0.11,0.28,0.19,0.07,0.04,0.11
1981,0,0.08,0.02,0.2,0.19,0.15,0.15,0.21,0.11,0.06,0.08,0.03
1982,0.09,0.01,0.13,0.09,0.07,0.05,0.27,0.13,0.04,0.06,0.23,0.28
1983,0.02,0.07,0.11,0.26,0.2,0.14,0.14,0.07,0.18,0.14,0.2,0.1
1984,0.04,0.05,0.1,0.14,0.14,0.07,0.1,0.07,0.13,0.1,0.09,0.09
1985,0.05,0.12,0.15,0.05,0.09,0.07,0.12,0.13,0.06,0.16,0.27,0.05
1986,0.01,0.09,0.05,0.06,0.1,0.12,0.14,0.04,0.24,0.12,0.05,0.04
1987,0.05,0.04,0.05,0.08,0.07,0.07,0.14,0.55,0.03,0.05,0.09,0.12
1988,0.06,0.04,0.07,0.07,0.04,0.04,0.09,0.11,0.13,0.16,0.22,0.08
1989,0.03,0.03,0.05,0.05,0.05,0.07,0.19,0.24,0.13,0.05,0.07,0.01
1990,0.06,0.08,0.1,0.06,0.22,0.15,0.07,0.25,0.03,0.13,0.19,0.06
1991,0.05,0.02,0.11,0.13,0.17,0.03,0.04,0.09,0.08,0.24,0.12,0.06
1992,0.03,0.05,0.09,0.07,0.01,0.05,0.12,0.11,0.14,0.06,0.18,0.08
1993,0.12,0.03,0.15,0.15,0.06,0.33,0.14,0.19,0.15,0.07,0.05,0.03
1994,0.06,0.09,0.04,0.07,0.02,0.2,0.05,0.13,0.03,0.1,0.13,0.05
1995,0.1,0.01,0.05,0.19,0.14,0.05,0.1,0.11,0.03,0.14,0.12,0.02
1996,0.05,0.02,0.03,0.09,0.22,0.16,0.13,0.05,0.09,0.07,0.05,0.04
1997,0.04,0.2,0.05,0.06,0.09,0.13,0.1,0.15,0.06,0.09,0.05,0.05
1998,0.09,0.06,0.14,0.12,0.1,0.1,0.06,0.22,0.08,0.17,0.07,0.04
1999,0.14,0.06,0.06,0.25,0.14,0.17,0.12,0.07,0.11,0.03,0.01,0.09
2000,0.04,0.07,0.04,0.17,0.13,0.14,0.12,0.07,0.12,0.04,0.09,0.07
2001,0.04,0.09,0.04,0.09,0.11,0.09,0.1,0.4,0.2,0.28,0.04,0.03
2002,0.04,0.03,0.09,0.1,0.14,0.15,0.09,0.26,0.06,0.05,0.03,0.06
2003,0.01,0.01,0.06,0.14,0.17,0.05,0.15,0.14,0.06,0.06,0.15,0.06
2004,0.03,0.02,0.09,0.02,0.23,0.09,0.09,0.17,0.01,0.09,0.14,0.04
2005,0.13,0.08,0.05,0.05,0.06,0.03,0.06,0.08,0.09,0.04,0.08,0.04
2006,0.09,0.06,0.09,0.12,0.12,0.14,0.12,0.1,0.2,0.13,0.12,0.1
2007,0.06,0.06,0.12,0.12,0.06,0.08,0.12,0.31,0.04,0.05,0.04,0.11
2008,0.06,0.12,0.08,0.09,0.13,0.14,0.15,0.12,0.45,0.07,0.06,0.19
2009,0.04,0.12,0.17,0.17,0.12,0.24,0.05,0.14,0.03,0.19,0.04,0.09
2010,0.04,0.06,0.05,0.1,0.16,0.21,0.29,0.06,0.09,0.03,0.08,0.08
2011,0.03,0.13,0.08,0.16,0.23,0.11,0.36,0.15,0.12,0.06,0.11,0.09
2012,0.06,0.06,0.09,0.06,0.14,0.03,0.12,0.07,0.06,0.1,0.03,0.07
2013,0.12,0.11,0.06,0.29,0.16,0.21,0.07,0.05,0.09,0.1,0.07,0.06
2014,0.09,0.09,0.06,0.09,0.16,0.26,0.07,0.24,0.09,0.08,0.05,0.03
2015,0.05,0.05,0.04,0.1,0.15,0.24,0.09,0.07,0.15,0.07,0.15,0.16
2016,0.03,0.04,0.11,0.09,0.18,0.1,0.2,0.14,0.06,0.12,0.06,0.06
2017,0.09,0.05,0.13,0.21,0.11,0.11,0.25,0.08,0.01,0.28,0.06,0.02
2018,0.05,0.17,0.06,0.09,0.26,0.25,0.04,0.21,0.12,0.15,0.11,0.11
2019,0.06,0.1,0.07,0.2,0.27,0.1,0.13,0.12,0.25,0.22,0.06,0.05
2020,0.09,0.03,0.11,0.13,0.31,0.15,0.08,0.03,0.11,0.12,0.06,0.08
2021,0.06,0.04,0.04,0.02,0.06,0.23,0.06,0.15,0.04,0.19,0.02,0.07
2022,0.03,0.09,0.12,,,,,,,,,
