Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1978,15.9,16.8,32.4,47.9,58.9,69,72.6,73.4,70.2,51.6,42.4,26.1
1979,12.4,16.7,35.4,44.6,59.5,69.3,72.8,71.6,65.8,53.7,40.5,34.1
1980,22.5,21.5,32.6,46.5,59.7,65.3,75.7,75.7,66,48.4,39.9,28
1981,22.6,28,37.6,51.8,55.3,69.8,72.5,71.2,61.7,49,40.8,24.9
1982,12.1,21.5,35,44.5,64.3,62.1,74,68.8,62.1,53.2,39.1,35.9
1983,26.3,30.4,37.4,43.4,53.2,69.7,76.7,77.3,64.6,52.8,41.1,14.3
1984,17.1,33.9,29.5,45.8,55.5,70.3,70.3,72.8,61,54.7,37.9,31
1985,14.4,20.3,39.4,52.6,60.1,63.6,71.3,69.2,65.4,52.5,37.7,17
1986,22.8,23.9,40.4,51.4,59.4,66.3,74.9,68.5,66.8,53.7,36,30.6
1987,25.9,33.8,40.8,50.6,63.4,72.4,76.7,71.8,65,47.2,43.8,32.1
1988,19.7,22.7,38,48.2,61,71.7,76.8,76.8,65.8,46,41.7,27.7
1989,32.4,19.6,36.5,46.8,57.8,67.4,73.9,71.4,62,54,37.7,17.4
1990,33.9,31.3,41.3,49.8,56.2,69.6,71.7,71.8,65.9,51.5,44.6,28.6
1991,20.7,31,40.4,52,65.6,71.9,75.5,73.6,63.7,53.2,35.2,30.2
1992,28.1,33.3,37.5,46.1,56.9,64.9,69.3,67,62.7,50.4,38.2,28.6
1993,26.2,24.3,34.1,45,59.7,66.4,74.3,73.3,59.2,49.5,38.7,29.8
1994,15.9,22,38.4,51.1,58.2,70.2,73.4,68.7,66.8,54.7,44.4,34.7
1995,24,26.4,40.2,46,58.7,72.3,77.6,79,62.5,53.7,32.7,26.3
1996,23.3,26,30.8,45.1,55,68,69.9,72.3,63.4,51.9,33.4,27.7
1997,19.3,29,37.9,45.2,53.8,68.3,73.2,69.5,64.2,53.1,36.4,31.5
1998,29.5,38.7,38.9,49.8,64.7,69.3,74.5,73.4,67.7,55.5,44.8,34.7
1999,22.6,34,35.6,49.6,61.6,70.4,78.3,70.3,63.4,52.9,45.1,29.8
2000,25.3,34.1,44.2,47.2,62,67.2,71,72.4,64.7,56.1,37,16
2001,24.5,26.1,34.1,52.5,60,67.4,74.5,73.2,61.9,52.1,48.2,33.4
2002,31.9,32.1,34.5,49.9,55.2,70.9,77,73.1,67.3,49.7,37.6,30.1
2003,21.3,23.6,36.7,48.3,56.2,65.5,72.3,73.6,63.3,51.8,41.9,31.6
2004,20.3,27.4,41.1,50.4,60,67.1,71.2,67.5,66.5,53.9,43.7,28.9
2005,24.5,32.4,35,51.5,57.1,74.2,75.6,74.3,69.4,55.2,42,23.3
2006,35.8,28.2,38.3,53.1,59.6,68.3,76.5,74.3,62.4,49,42.8,33.8
2007,27.9,17.9,42.5,46.8,63.8,71.3,73.7,74.8,68.1,59,39.4,27.8
2008,23.5,23,34.9,49.4,55.5,70.8,74,72.7,66.1,52.6,39.3,22.9
2009,15.8,28.2,39.6,47.3,59.9,67.6,69.4,70.5,65.4,48.8,45.3,26.5
2010,21.9,26.7,41.7,54.6,61.7,71.2,77.6,76.7,65.1,56,41.5,22.5
2011,20.6,26.2,36.3,47.7,57.9,69.5,79,73.5,62.2,54.9,44.9,35.2
2012,30.2,32.9,53.5,50.7,65.6,74,81,73.3,64.1,51.5,40.5,36.1
2013,26.6,26.1,32.6,46.9,61,68.5,73.2,73,67.2,53.1,37.5,23.3
2014,15.7,17.3,31.7,48.6,60.4,70.9,70.4,73.7,63.9,52,33.6,32
2015,22.3,14.6,35.4,49.4,60.4,67.4,72.3,71.8,69,54.7,44.6,39
2016,24.7,30.4,43.3,47.8,59.7,71.6,75.5,75.8,69.6,56.9,46.8,25
2017,28.8,38,39.5,53.7,57.9,72.4,74.6,71.5,69.4,57.6,39.7,27.2
2018,24.6,28.8,36.9,41.2,66.1,71.5,76.2,76.3,68.9,52.7,34.6,33.2
2019,21,25.9,34.3,49.7,58,67.8,77.1,72.9,69.4,50.9,34.8,34
2020,30.1,30.2,42.8,48.4,59.9,74,79.2,76.8,66.3,51.5,47.4,32.8
2021,29.2,20.2,44.2,51.9,60.2,74.3,74.4,77.1,70.3,59.7,40.3,38
2022,20.6,27.4,40.7,47,,,,,,,,
