Date,MSL
1/1/78,579.098
2/1/78,578.986
3/1/78,578.894
4/1/78,579.275
5/1/78,579.537
6/1/78,579.61
7/1/78,579.649
8/1/78,579.564
9/1/78,579.859
10/1/78,579.57
11/1/78,579.39
12/1/78,579.032
1/1/79,579.091
2/1/79,579.127
3/1/79,579.262
4/1/79,579.859
5/1/79,580.4
6/1/79,580.561
7/1/79,580.696
8/1/79,580.686
9/1/79,580.538
10/1/79,580.335
11/1/79,579.97
12/1/79,579.948
1/1/80,579.839
2/1/80,579.856
3/1/80,579.731
4/1/80,580.082
5/1/80,580.23
6/1/80,580.453
7/1/80,580.476
8/1/80,580.44
9/1/80,580.308
10/1/80,580.075
11/1/80,579.718
12/1/80,579.524
1/1/81,579.383
2/1/81,579.196
3/1/81,579.436
4/1/81,579.633
5/1/81,580.039
6/1/81,580.026
7/1/81,580.22
8/1/81,580.157
9/1/81,580.148
10/1/81,579.888
11/1/81,579.642
12/1/81,579.268
1/1/82,579.049
2/1/82,578.953
3/1/82,578.94
4/1/82,579.229
5/1/82,579.577
6/1/82,579.672
7/1/82,579.688
8/1/82,579.692
9/1/82,579.623
10/1/82,579.324
11/1/82,579.272
12/1/82,579.469
1/1/83,579.639
2/1/83,579.678
3/1/83,580.007
4/1/83,580.069
5/1/83,580.499
6/1/83,580.81
7/1/83,580.712
8/1/83,580.699
9/1/83,580.331
10/1/83,580.289
11/1/83,580.108
12/1/83,579.777
1/1/84,579.623
2/1/84,579.875
3/1/84,579.967
4/1/84,580.292
5/1/84,580.407
6/1/84,580.771
7/1/84,580.866
8/1/84,580.896
9/1/84,580.705
10/1/84,580.528
11/1/84,580.39
12/1/84,580.187
1/1/85,580.351
2/1/85,580.302
3/1/85,580.709
4/1/85,581.243
5/1/85,581.565
6/1/85,581.572
7/1/85,581.427
8/1/85,581.332
9/1/85,581.289
10/1/85,581.129
11/1/85,581.49
12/1/85,581.198
1/1/86,581.102
2/1/86,581.243
3/1/86,581.138
4/1/86,581.585
5/1/86,581.696
6/1/86,581.854
7/1/86,581.978
8/1/86,581.988
9/1/86,581.965
10/1/86,582.349
11/1/86,581.759
12/1/86,581.424
1/1/87,581.25
2/1/87,581.175
3/1/87,581.129
4/1/87,581.138
5/1/87,581.017
6/1/87,580.978
7/1/87,580.794
8/1/87,580.692
9/1/87,580.446
10/1/87,579.941
11/1/87,579.738
12/1/87,579.613
1/1/88,579.252
2/1/88,579.38
3/1/88,579.367
4/1/88,579.721
5/1/88,579.813
6/1/88,579.685
7/1/88,579.462
8/1/88,579.19
9/1/88,578.95
10/1/88,578.766
11/1/88,578.773
12/1/88,578.599
1/1/89,578.52
2/1/89,578.514
3/1/89,578.704
4/1/89,578.822
5/1/89,578.93
6/1/89,579.383
7/1/89,579.498
8/1/89,579.229
9/1/89,579.022
10/1/89,578.642
11/1/89,578.199
12/1/89,578.031
1/1/90,577.799
2/1/90,577.992
3/1/90,578.081
4/1/90,578.32
5/1/90,578.701
6/1/90,578.862
7/1/90,579.173
8/1/90,579.127
9/1/90,578.947
10/1/90,578.757
11/1/90,578.579
12/1/90,578.652
1/1/91,578.491
2/1/91,578.435
3/1/91,578.714
4/1/91,579.18
5/1/91,579.499
6/1/91,579.703
7/1/91,579.601
8/1/91,579.482
9/1/91,578.932
10/1/91,578.733
11/1/91,578.487
12/1/91,578.622
1/1/92,578.671
2/1/92,578.727
3/1/92,578.92
4/1/92,579.041
5/1/92,579.304
6/1/92,579.285
7/1/92,579.319
8/1/92,579.237
9/1/92,579.077
10/1/92,579.026
11/1/92,579.274
12/1/92,579.088
1/1/93,579.298
2/1/93,579.275
3/1/93,579.259
4/1/93,579.705
5/1/93,579.833
6/1/93,580.177
7/1/93,580.394
8/1/93,580.328
9/1/93,580.108
10/1/93,579.82
11/1/93,579.678
12/1/93,579.491
1/1/94,579.4
2/1/94,579.383
3/1/94,579.436
4/1/94,579.57
5/1/94,579.78
6/1/94,579.915
7/1/94,580.118
8/1/94,580.095
9/1/94,579.977
10/1/94,579.688
11/1/94,579.455
12/1/94,579.367
1/1/95,579.183
2/1/95,579.072
3/1/95,579.088
4/1/95,579.219
5/1/95,579.462
6/1/95,579.675
7/1/95,579.469
8/1/95,579.606
9/1/95,579.314
10/1/95,578.825
11/1/95,578.865
12/1/95,578.734
1/1/96,578.72
2/1/96,578.779
3/1/96,578.926
4/1/96,579.112
5/1/96,579.53
6/1/96,580.066
7/1/96,580.236
8/1/96,580.252
9/1/96,580.302
10/1/96,580.053
11/1/96,579.962
12/1/96,579.968
1/1/97,579.994
2/1/97,580.168
3/1/97,580.426
4/1/97,580.576
5/1/97,581.02
6/1/97,581.242
7/1/97,581.415
8/1/97,581.385
9/1/97,581.214
10/1/97,580.759
11/1/97,580.386
12/1/97,580.055
1/1/98,579.962
2/1/98,580.01
3/1/98,580.111
4/1/98,580.555
5/1/98,580.586
6/1/98,580.44
7/1/98,580.37
8/1/98,580.09
9/1/98,579.667
10/1/98,579.274
11/1/98,578.776
12/1/98,578.444
1/1/99,578.407
